,X,Y,Z,azimuth,dip,polarity,formation
1,20.0,0.0,61.0,90.0,-37.8749836511,1.0,Layer1
2,20.0,0.0,43.0,90.0,-37.8749836511,1.0,Layer2
3,20.0,0.0,28.0,90.0,-35.8376529543,1.0,Layer3
5,20.0,0.0,70.0,90.0,-15.5241109968,1.0,Layer5
6,40.0,0.0,59.0,90.0,-37.8749836511,1.0,Layer2
7,40.0,0.0,44.0,90.0,-37.8749836511,1.0,Layer3
9,40.0,0.0,76.0,90.0,-15.5241109968,1.0,Layer5
10,60.0,0.0,72.0,90.0,-29.0546040991,1.0,Layer2
11,60.0,0.0,58.0,90.0,-29.0546040991,1.0,Layer3
13,60.0,0.0,82.0,90.0,-15.5241109968,1.0,Layer5
14,80.0,0.0,78.0,90.0,-9.46232220803,1.0,Layer2
15,80.0,0.0,64.0,90.0,-9.46232220803,1.0,Layer3
17,80.0,0.0,88.0,90.0,-18.4349488229,1.0,Layer5
18,100.0,0.0,77.0,90.0,18.4349488229,1.0,Layer2
19,100.0,0.0,63.0,90.0,18.4349488229,1.0,Layer3
21,100.0,0.0,93.0,90.0,-15.5241109968,1.0,Layer5
22,120.0,0.0,84.0,90.0,37.8749836511,1.0,Layer1
23,120.0,0.0,66.0,90.0,37.8749836511,1.0,Layer2
24,120.0,0.0,52.0,90.0,37.8749836511,1.0,Layer3
26,140.0,0.0,65.0,90.0,46.548157699,1.0,Layer1
27,140.0,0.0,47.0,90.0,46.548157699,1.0,Layer2
28,140.0,0.0,33.0,90.0,48.0127875042,1.0,Layer3
30,160.0,0.0,42.0,90.0,49.398705355,1.0,Layer1
31,160.0,0.0,24.0,90.0,49.398705355,1.0,Layer2
32,160.0,0.0,10.0,90.0,49.398705355,1.0,Layer3
33,180.0,0.0,21.0,90.0,45.0,1.0,Layer1
34,180.0,0.0,6.0,90.0,33.690067526,1.0,Layer2
