"x";"y";"zTopo";"from_SecondarySeal";"to_SecondarySeal";"thickness_SecondarySeal";"from_SecondaryReservoir";"to_SecondaryReservoir";"thickness_SecondaryReservoir";"from_Seal";"to_Seal";"thickness_Seal";"from_Reservoir";"to_Reservoir";"thickness_Reservoir";"from_NonReservoirDeep";"to_NonReservoirDeep";"thickness_NonReservoirDeep";
20;1980;-1;-1;-1;0;-1;-1;0;-1;-427.613;426.613;-427.613;-691.287;263.674;-691.287;-2000;1308.71;
60;1980;-1;-1;-1;0;-1;-1;0;-1;-455.679;454.679;-455.679;-721.218;265.539;-721.218;-2000;1278.78;
100;1980;-1;-1;-1;0;-1;-1;0;-1;-485.653;484.653;-485.653;-752.244;266.591;-752.244;-2000;1247.76;
140;1980;-1;-1;-1;0;-1;-1;0;-1;-517.386;516.386;-517.386;-784.037;266.651;-784.037;-2000;1215.96;
180;1980;-1;-1;-1;0;-1;-1;0;-1;-550.683;549.683;-550.683;-816.233;265.551;-816.233;-2000;1183.77;
220;1980;-1;-1;-1;0;-1;-15.6159;14.6159;-15.6159;-585.272;569.656;-585.272;-848.474;263.202;-848.474;-2000;1151.53;
260;1980;-1;-1;-1;0;-1;-40.4015;39.4015;-40.4015;-620.842;580.441;-620.842;-880.412;259.569;-880.412;-2000;1119.59;
300;1980;-1;-1;-1;0;-1;-66.1857;65.1857;-66.1857;-657.02;590.834;-657.02;-911.708;254.687;-911.708;-2000;1088.29;
340;1980;-1;-1;-17.5375;16.5375;-17.5375;-92.7978;75.2602;-92.7978;-693.389;600.592;-693.389;-942.058;248.669;-942.058;-2000;1057.94;
380;1980;-1;-1;-43.745;42.745;-43.745;-120.032;76.2866;-120.032;-729.504;609.473;-729.504;-971.208;241.703;-971.208;-2000;1028.79;
420;1980;-1;-1;-70.423;69.423;-70.423;-147.646;77.2232;-147.646;-764.909;617.263;-764.909;-998.955;234.046;-998.955;-2000;1001.05;
460;1980;-1;-1;-97.3355;96.3355;-97.3355;-175.368;78.0327;-175.368;-799.163;623.795;-799.163;-1025.14;225.972;-1025.14;-2000;974.865;
500;1980;-1;-1;-124.222;123.222;-124.222;-202.899;78.6766;-202.899;-831.787;628.888;-831.787;-1049.7;217.913;-1049.7;-2000;950.3;
540;1980;-1;-1;-150.807;149.807;-150.807;-229.93;79.1234;-229.93;-862.644;632.714;-862.644;-1072.6;209.96;-1072.6;-2000;927.396;
580;1980;-1;-1;-176.807;175.807;-176.807;-256.139;79.3323;-256.139;-891.238;635.099;-891.238;-1093.86;202.623;-1093.86;-2000;906.139;
620;1980;-1;-1;-201.95;200.95;-201.95;-281.219;79.2695;-281.219;-917.398;636.178;-917.398;-1113.55;196.149;-1113.55;-2000;886.453;
660;1980;-1;-1;-225.99;224.99;-225.99;-304.894;78.9042;-304.894;-940.948;636.053;-940.948;-1131.81;190.859;-1131.81;-2000;868.194;
700;1980;-1;-1;-248.716;247.716;-248.716;-326.942;78.2261;-326.942;-961.765;634.823;-961.765;-1148.85;187.089;-1148.85;-2000;851.146;
740;1980;-1;-1;-269.972;268.972;-269.972;-347.212;77.2402;-347.212;-979.884;632.672;-979.884;-1164.95;185.066;-1164.95;-2000;835.05;
780;1980;-1;-1;-289.672;288.672;-289.672;-365.645;75.9728;-365.645;-995.388;629.743;-995.388;-1180.33;184.942;-1180.33;-2000;819.671;
820;1980;-1;-1;-307.801;306.801;-307.801;-382.273;74.4717;-382.273;-1008.46;626.186;-1008.46;-1195.07;186.613;-1195.07;-2000;804.928;
860;1980;-1;-1;-324.416;323.416;-324.416;-397.226;72.8104;-397.226;-1019.82;622.598;-1019.82;-1208.99;189.164;-1208.99;-2000;791.011;
900;1980;-1;-1;-339.636;338.636;-339.636;-410.68;71.0438;-410.68;-1029.74;619.056;-1029.74;-1221.66;191.922;-1221.66;-2000;778.342;
940;1980;-1;-1;-353.627;352.627;-353.627;-422.9;69.2729;-422.9;-1038.07;615.168;-1038.07;-1232.72;194.654;-1232.72;-2000;767.278;
980;1980;-1;-1;-366.585;365.585;-366.585;-434.148;67.5627;-434.148;-1044.13;609.98;-1044.13;-1242.41;198.278;-1242.41;-2000;757.594;
1020;1980;-1;-1;-378.712;377.712;-378.712;-444.687;65.9751;-444.687;-1047.21;602.525;-1047.21;-1252.21;205.003;-1252.21;-2000;747.786;
1060;1980;-1;-1;-390.212;389.212;-390.212;-454.76;64.5482;-454.76;-1047.12;592.364;-1047.12;-1262.32;215.197;-1262.32;-2000;737.679;
1100;1980;-1;-1;-401.235;400.235;-401.235;-464.571;63.3353;-464.571;-1044.67;580.099;-1044.67;-1271.17;226.496;-1271.17;-2000;728.834;
1140;1980;-1;-1;-411.949;410.949;-411.949;-474.276;62.3274;-474.276;-1041.51;567.23;-1041.51;-1278.25;236.747;-1278.25;-2000;721.747;
1180;1980;-1;-1;-422.45;421.45;-422.45;-483.984;61.5338;-483.984;-1039.21;555.228;-1039.21;-1283.67;244.457;-1283.67;-2000;716.331;
1220;1980;-1;-1;-432.805;431.805;-432.805;-493.75;60.9446;-493.75;-1038.11;544.361;-1038.11;-1287.65;249.54;-1287.65;-2000;712.349;
1260;1980;-1;-1;-443.04;442.04;-443.04;-503.582;60.5416;-503.582;-1038.19;534.603;-1038.19;-1290.45;252.267;-1290.45;-2000;709.548;
1300;1980;-1;-1;-453.142;452.142;-453.142;-513.442;60.2999;-513.442;-1039.37;525.924;-1039.37;-1292.28;252.919;-1292.28;-2000;707.715;
1340;1980;-1;-1;-463.061;462.061;-463.061;-523.251;60.1903;-523.251;-1041.23;517.975;-1041.23;-1293.3;252.074;-1293.3;-2000;706.699;
1380;1980;-1;-1;-472.713;471.713;-472.713;-532.894;60.1812;-532.894;-1043.43;510.538;-1043.43;-1293.59;250.156;-1293.59;-2000;706.412;
1420;1980;-1;-1;-481.987;480.987;-481.987;-542.227;60.2399;-542.227;-1045.66;503.432;-1045.66;-1293.17;247.512;-1293.17;-2000;706.829;
