X,Y,Z,formation
800,200,-1400,Seal
800,1800,-1400,Seal
600,1000,-1050,Seal
300,1000,-950,Seal
2000,1000,-1275,Seal
1900,1000,-1300,Seal
1300,1000,-1100,Seal
1600,1000,-1200,Seal
1750,1000,-1250,Seal
1150,1000,-1050,Seal
1000,25,-1050,Seal
1000,100,-1100,Seal
1000,1975,-1050,Seal
1000,1900,-1100,Seal
900,1000,-650,Overlying
600,1000,-550,Overlying
1300,1000,-600,Overlying
1600,1000,-700,Overlying
1900,1000,-800,Overlying
2000,1000,-775,Overlying
1300,25,-650,Overlying
1300,100,-700,Overlying
1300,1975,-650,Overlying
1300,1900,-700,Overlying
900,1000,-750,SecondaryReservoir
600,1000,-650,SecondaryReservoir
1300,1000,-700,SecondaryReservoir
1600,1000,-800,SecondaryReservoir
1900,1000,-900,SecondaryReservoir
2000,1000,-875,SecondaryReservoir
600,1000,-1350,Reservoir
300,1000,-1250,Reservoir
2000,1000,-1575,Reservoir
1900,1000,-1600,Reservoir
1300,1000,-1400,Reservoir
1600,1000,-1500,Reservoir
1750,1000,-1550,Reservoir
1000,1000,-1300,Reservoir
1000,1000,-1000,MainFault
900,1000,-1300,MainFault
1100,1000,-700,MainFault
1200,1000,-400,MainFault
800,1000,-1600,MainFault
