X,Y,Z,formation
600,1000,-1050,Res_Top
300,1000,-950,Res_Top
2000,1000,-1075,Res_Top
1350,1000,-900,Res_Top
1600,1000,-1050,Res_Top
1750,1000,-1150,Res_Top
1150,1000,-950,Res_Top
1150,500,-1150,Res_Top
1450,500,-1100,Res_Top
1600,500,-1200,Res_Top
1900,500,-1500,Res_Top
300,500,-700,Res_Top
600,500,-750,Res_Top
1150,1500,-1050,Res_Top
1450,1500,-1000,Res_Top
1600,1500,-1100,Res_Top
1900,1500,-1400,Res_Top
300,1500,-650,Res_Top
600,1500,-600,Res_Top
900,1000,-650,SecondaryReservoir
600,1000,-550,SecondaryReservoir
1450,1000,-500,SecondaryReservoir
1600,1000,-700,SecondaryReservoir
1900,1000,-800,SecondaryReservoir
900,500,-350,SecondaryReservoir
1600,500,-700,SecondaryReservoir
1900,500,-800,SecondaryReservoir
900,1500,-250,SecondaryReservoir
1600,1500,-850,SecondaryReservoir
1900,1500,-950,SecondaryReservoir
900,1000,-750,Seal_Top
600,1000,-650,Seal_Top
1450,1000,-600,Seal_Top
1600,1000,-800,Seal_Top
1900,1000,-900,Seal_Top
1600,500,-950,Seal_Top
1900,500,-1250,Seal_Top
900,500,-450,Seal_Top
600,500,-350,Seal_Top
1600,1500,-850,Seal_Top
1900,1500,-1150,Seal_Top
900,1500,-350,Seal_Top
600,1500,-250,Seal_Top
600,1000,-1350,Res_Base
300,1000,-1250,Res_Base
1900,1000,-1650,Res_Base
1450,1000,-1100,Res_Base
1600,1000,-1350,Res_Base
1750,1000,-1550,Res_Base
1000,1000,-1300,Res_Base
1900,500,-1600,Res_Base
1450,500,-1300,Res_Base
600,500,-1050,Res_Base
1900,1500,-1500,Res_Base
1450,1500,-1200,Res_Base
600,1500,-950,Res_Base
1000,1000,-1000,MainFault
900,1000,-1300,MainFault
1100,1000,-700,MainFault
1200,1000,-400,MainFault
800,1000,-1600,MainFault
